LANGUAGE, English, German
STRS_geld_ChiefPoliceNOMoney, ", Income as Police-Chief: Not enough Tax-Money available!!!", ", Einkommen Buergermeister: Nicht genug Steuergelder Vorhanden!!!"

// CIV INCOME MESSAGES
STRS_geld_overviewmsgwelfareYes, "Income Welfare: %1$", "Einkommen Sozialhilfe: %1$"
STRS_geld_overviewmsgwelfareNo, "Income Welfare: Not enough Tax-Money available", "Einkommen Sozialhilfe: Nicht genug Steuergelder Vorhanden"
STRS_geld_overviewmsgwelfareLimitReached, "Income Welfare: Not Entitled to claim!", "Einkommen Sozialhilfe: Nicht Anspruchsberechtigt!"
STRS_geld_overviewmsgworkplaces, ", Income Workplaces: %1$", ", Einkommen Workplaces: %1$"
STRS_geld_overviewmsgworkers, ", Income Workers: %1$", ", Einkommen Arbeiter: %1$"
STRS_geld_overviewmsgmissions, ", Income Missions: %1$", ", Einkommen Missionen: %1$"
STRS_geld_overviewmsgtrainedjobs, ", Income Trained Jobs: %1$", ", Einkommen Trained Jobs: %1$"
STRS_geld_overviewmsgbusinessassets, ", Income Business Assetes: %1$", ", Einkommen Geschaeftsobjekte: %1$"
STRS_geld_overviewmsgmayorYes, ", Income Mayor: %1$", ", Einkommen Buergermeister: %1$"
STRS_geld_overviewmsgmayorNo, ", Income Mayor: Not enough Tax-Money available!!!", ", Einkommen Buergermeister: Nicht genug Steuergelder Vorhanden!!!"

// FINAL INCOME MESSAGES
STRS_geld_briefoverviewmsg, "The Paycheque arrived! Gross-Income: %1$, Net-Income: %2$, Income-Tax Payed: %3$, Income-Tax-Class: %4 (%5 percent)", "Der Gehaltsscheck ist da! Brutto-Einkommen: %1$, Netto-Einkommen: %2$, Einkommensteuer Bezahlt: %3$, Einkommensteuerklasse: %4 (%5 prozent)"
STRS_geld_civmoneyadd, "Detailed Overview (Gross-Values): %1%2%3%4%5%6%7", "Detaillierte Uebersicht (Brutto-Werte): %1%2%3%4%5%6%7"
STRS_geld_copmoneyadd, "Detailed Overview (Gross-Values): %1%2%3%4%5%6%7", "Detaillierte Uebersicht (Brutto-Werte): %1%2%3%4%5%6%7"




// DESCRIPTION
// ############################################################################012

STRD_description_onloadintro, "Sahrani Life:Reloaded", "Sahrani Life:Reloaded"
STRD_description_onloadmission, "Sahrani Life:Reloaded", "Sahrani Life:Reloaded"
STRD_description_param1, "Marker out of city", "Marker out of city"
STRD_description_time, "in-game hour in min. [Day|Night]", "ingame hour in min. [Day|Night]"
STRD_description_on, "on", "on"
STRD_description_off, "off", "off"
STRD_description_cancel, "Cancel", "Abbrechen"
STRD_description_buyitem_close, "Close", "Schliessen"
STRD_description_submit, "Submit", "Bestaetigen"
STRD_description_weapon_submit, "Buy this weapon!", "Diese Waffe kaufen!"
STRD_description_civcam_title, "Sahrani Camera Systems","Sahrani Kamera-systeme"
STRD_description_civcam_chooseciv, "Choose Civ:", "Civ auswaehlen:"
STRD_description_civcam_dauer, "Duration:", "Dauer:"
STRD_description_civcam_cost, "Cost:", "Kosten:"
STRD_description_civcam_submit, "Watch him","Civ beobachten!"
STRD_description_carshop_submit, "Buy this Vehicle","Dieses Vehikel kaufen"
STRD_description_civmenu_disarm, "Disarm", "Entwaffnen"
STRD_description_civmenu_steal, "Steal money", "geld stehlen"
STRD_description_civmenu_drugs, "Search for Drugs", "Nach Drogen suchen"
STRD_description_civmenu_arrest, "Arrest", "Verhaften"
STRD_description_civmenu_ticket, "Ticket", "Strafzettel"
STRD_description_civmenu_heal, "Heal this Civ", "Diesen Civ heilen"
STRD_description_civmenu_inventar, "Check Inventory", "Inventar Ueberpruefen"
STRD_description_civmenu_header, "Civ-menu", "Civmenue"
STRD_description_wantedrelease_cost, "Enter Cost:", "Kosten eingeben:"
STRD_description_wantedrelease_setwantedmenu, "Set Wanted Menu", "Auf gesucht setzen"
STRD_description_wantedrelease_prisonrelease_title, "Release menu", "Civ freilassen"
STRD_description_wantedrelease_submit, "Set him free", "Lass ihn frei"
STRD_description_wantedrelease_submit_unwanted, "Set him unwanted", "Auf ungesucht setzen"
STRD_description_bail_paycash, "Pay bail (Cash)", "Pay bail (Cash)"
STRD_description_bail_paybank, "Pay bail (Bank)", "Pay bail (Bank)"
STRD_description_bail_cost, "Bail", "Loesemoney"
STRD_description_spielerinfo_header, "Player Info", "Spielerinfos"
STRD_description_spielerinfo_select, "Select Player", "Spieler auswaehlen"
STRD_description_spielerinfo_name, "Player Name:", "Spielername:"
STRD_description_spielerinfo_deaths, "Number of deaths:", "Anzahl Tode"
STRD_description_spielerinfo_wanted, "Wanted:", "Gesucht:"
STRD_description_spielerinfo_bounty, "Bounty:", "kopfgeld:"
STRD_description_bombenconfig_header, "Speed Car-Bomb config", "Geschwindigkeitsautobombe einstellen"
STRD_description_bombenconfig_speed, "Speed:", "Geschwindigkeit:"
STRD_description_bombenconfig_speed2, "Duration:", "Dauer:"
STRD_description_bombenconfig_plant, "Plant Bomb", "Bombe legen"
STRD_description_zeitbombenconfig_header, "Time Car-Bomb config", "Zeitautobombe einstellen"
STRD_description_zeitbombenconfig_zeit, "Time:", "Zeit:"
STRD_description_hideout_submit, "Buy Hideout", "Hideout kaufen"
STRD_description_schluessel_header, "Keys", "Autoschluessel"
STRD_description_schluessel_wegwerfen, "Throw Key away forever", "Schluessel wegwerfen"
STRD_description_handy_title, "Write SMS", "SMS schreiben"
STRD_description_handy_cost, "Cost: $%1", "Kosten: $%1"
STRD_description_handy_submit, "Send", "Abschicken"
STRD_description_itemmenu_title, "Buy Items", "Items kaufen"
STRD_description_itemmenu_title2, "Sell Items", "Items verkaufen"
STRD_description_inventar_gewicht, "Item Weight single/overall:", "Itemgewicht einzeln/gesamt:"
STRD_description_spielerliste_header, "Stats", "Statistik"
STRD_description_gildegruenden_header, "Create a new Guild", "Eine neue Gilde gruenden"
STRD_description_gildegruenden_submit, "Create!", "Gruenden!"
STRD_description_gildegruenden_name, "Guild Name:", "Gildenname:"
STRD_description_gildeverwalten_header, "Manage Guild", "Gilde Verwalten"
STRD_description_gildeverwalten_rauswerfen_header, "Kick Member", "Mitglied rauswerfen"
STRD_description_gildeverwalten_rauswerfen_submit, "Kick!", "Rauswerfen!"
STRD_description_gildehauptmenu_header, "Guilds", "Gilden"
STRD_description_gildehauptmenu_button_join, "Join Guild", "Gilde beitreten"
STRD_description_gildehauptmenu_button_manage, "Manage Guild", "Gilde verwalten"
STRD_description_gildehauptmenu_button_leave, "Leave Guild", "Gilde verlassen"
STRD_description_gildehauptmenu_button_create, "Create Guild", "Gilde gruenden"

STRD_description_factory_manifacture_header, "Factory", "Fabrik"
STRD_description_factory_manifacture, "Manufacture", "Herstellen"

STRD_description_close, "Close", "Schliessen"

STRD_description_janein_header, "Please confirm", "Bitte bestaetigen"
STRD_description_ja, "Yes", "Ja"
STRD_description_nein, "No", "Nein"
STRD_janein_header, "Please confirm", "Bitte bestaetigen"

STRD_stunned_dialogbutton, "Stand up", "Aufstehen"


// HANDLER_DEAD_PUB
// ############################################################################013

STRS_handlerdeadpub_civkilled, "You killed %1! He wasn't wanted so you have to pay $%2 as a punishment!", "Du hast %1 getoetet! Er war nicht gesucht, daher musst du $%2 als Strafe zahlen!"
STRS_handlerdeadpub_bounty_youkilled, "You killed %1! He had a bounty of $%2", "Du hast %1 getoetet! Auf ihn war ein kopfgeld in hoehe von $%2 ausgesetzt."
STRS_handlerdeadpub_bounty_kill, "You killed a wanted civ and got $%1 as bonus.", "Du hast eine gesuchte Person getoetet und bekommst $%1 Bonus."
STRS_handlerdeadpub_copkilled, "You killed %1! You are now wanted!", "Du hast den %1 getoetet! Du bist jetzt gesucht!"
STRS_handlerdeadpub_copkilledbycop, "You Team-killed %1!", "Du hast deinen Teamkameraden %1 getoetet"
STRS_handlerdeadpub_suicide, "You committed suicide.", "Du hast Selbstmord begangen."

// KONVOY
// ############################################################################015

STRS_konvoy_start, "A weapon convoy has started and is on its way to the police base.","Ein Waffenkonvoy ist gestartet und auf dem Weg zur Polizeibasis."
STRS_konvoy_arrived, "The convoy has reached the police base.","Der Konvoy hat die Polizeibasis erreicht."
STRS_konvoy_hijacked, "The convoy has been hijacked! The Driver is dead!","Der Konvoi wurde ueberfallen und entfuehrt, der Fahrer ist tot."
STRS_konvoy_destroyed, "The weapon convoy has been destroyed!","Der Waffenkonvoi wurde zerstoert."
STRS_konvoy_civarrived, "The hijacked Convoy has reached the Black Market.", "Der entfuehrte Konvoi hat den Schwarzmarkt erreicht."
STRS_Konvoymarker, "Truck", "Truck"
STRS_konvoy_moneymehr, "You received additional 5000$ because the convoy reached the base", "Du hast zusaetzlich 5000$ erhalten, da der Konvoy die Basis erreicht hat"

// bounty
// ############################################################################016

STRS_bounty_kein_bounty_entfernen, "There's no bounty on his head.", "Auf diesen Civ ist kein kopfgeld ausgesetzt, welches entfernt werden kann."
STRS_bounty_entfernt, "The bounty of %1 was removed. He is no longer wanted.", "Das kopfgeld von %1 wurde erfolgreich entfernt. Er wird nun nicht laenger gesucht."
STRS_bounty_nobounty, "You currently can't set %1 wanted.", "Du kannst %1 gerade nicht auf gesucht setzen."
STRS_bounty_nomoney, "You don't have enough money.", "Du hast nicht genug geld."
STRS_kofpmoney_set, "You set %1 wanted. The one who kills him will be rewarded with $%2.", "%1 wird jetzt gesucht. Derjenige der ihn toetet bekommt $%2 als Belohnung."
STRS_bounty_publicmsg, "%1 sets a bounty of $%2 on Civ%3s head. That's a bounty of $%4 in total (Civs need a Bounty-Hunter license to get the money).", "%1 setzt ein kopfgeld von $%2 auf den Kopf von Civ%3. Das macht gesamt $%4 (Civs benoetigen eine kopfgeldjaegerlizenz um das geld bekommen zu koennen)."
STRS_bounty_notself, "You cannot set yourself unwanted.", "Du kannst dich nicht selbst auf ungesucht setzen"

// COPMARKER / CIVMARKER
// ############################################################################018

STRS_switchedcopmarker, "You turned cop-markers %1.", "Du hast die Copmarker %1geschaltet."
STRS_Off, "off", "aus"
STRS_On, "on", "ein"

// HINTS
// ############################################################################019

STRS_statdialog_playerinfo, "P L A Y E R - I N F O:", "S P I E L E R I N F O:"
STRS_statdialog_playerlist, "P L A Y E R S:", "S P I E L E R:"
STRS_statdialog_licenselist, "L I C E N S E S:", "L I Z E N Z E N:"
STRS_statdialog_other, "O T H E R:", "A N D E R E S:"
STRS_statdialog_inventarlist, "I N V E N T O R Y:", "I N V E N T A R:"
STRS_statdialog_waffen, "W E A P O N S:", "W A F F E N:"
STRS_statdialog_magazine, "M A G A Z I N E S:", "M A G A Z I N E:"
STRS_statdialog_gildenlist, "G U I L D S:", "G I L D E N:"
STRS_statdialog_laws, "L A W S:", "G E S E T Z E:"
STRS_statdialog_regierung, "G O V E R N M E N T:", "R E G I E R U N G:"
STRS_statdialog_mayor, "M A Y O R:", "M A Y O R:"
STRS_statdialog_chief, "C H I E F:", "C H I E F:"
STRS_statdialog_taxes, "T A X E S:", "S T E U E R N:"
STRS_stat_regierung, "Government Guild-ID:", "Regierungs Gilden-ID:"
STRS_statdialog_money, "Money", "Money"
STRS_statdialog_hunger, "Hunger", "Hunger"
STRS_statdialog_thirst, "Thirst", "Durst"
STRS_statdialog_health, "Health", "Leben"
STRS_statdialog_speed, "Speed", "Geschwindigkeit"
STRS_statdialog_heigth, "Height", "Hoehe"
STRS_statdialog_weight, "Weight", "Gewicht"
STRS_statdialog_rolenumber, "Role Number", "Rollennummer"
STRS_statdialog_copkills, "Cops killed", "Cops getoetet"
STRS_statdialog_civkills, "Civs killed", "Civs getoetet"
STRS_statdialog_selfkills, "Suicides", "Selbstmorde"
STRS_statdialog_deaths, "Deaths", "Tode"
STRS_statdialog_bounty, "Bounty", Kopfgeld"
STRS_statdialog_bestrace, "Best Race", "Bestes Rennen"
STRS_statdialog_racewon, "Races won", "Rennen gewonnen"
STRS_statdialog_gilde, "Guild", "Gilde"
STRS_statdialog_wanted, "Wanted", "Gesucht"
STRS_statdialog_bounty, "Bounty", "Kopfgeld"
STRS_statdialog_nutrition, "Nutrition", "Nutrition"

STRS_hints_ja, "Yes", "Ja"
STRS_hints_nein, "No", "Nein"
STRS_hints_keins, "None", "Keins"
STRS_hints_account_balance, "You have %1$ on your Account.","Du hast $%1 auf deinem Konto."

// PRISON BAIL / RELEASE
// ############################################################################020

STRS_bail_addbail, "You got $%1 because Civ%2 paid bail.", "Du hast $%1 bekommen, weil Civ%2 Loesegeld gezahlt hat."
STRS_bail_payed, "Civ%1 paid $%2 in bail", "Civ%1 hat $%2 Loesemoney gezahlt."
STRS_bail_self, "You paid $%1 bail.", "Du hast $%1 Loesegeld gezahlt."
STRS_bail_cantpay, "You do not have that much money.", "Du hast nicht genug geld um soviel zu zahlen."

STRS_prison_notinprison, "You cannot release this Civ because he is not in prison.", "Du kannst diesen Civ nicht freilassen, weil er nicht im Gefaengnis ist."
STRS_prison_freenow, "The Civ is free now.", "Der Civ ist nun frei."

// SHOOTING RANGE
// ############################################################################022

STRS_sr_result, "You earned $%3 (%1 points) by killing %2 targets.", "Du hast $%3 verdient (%1 Punkte), indem du %2 Ziele Getoetet hast."
STRS_sr_active_self,"You need to wait a while before going again.","Du kannst den Schiessstand nicht benutzen, weil du ihn vor kurzem benutzt hast!"
STRS_sr_active,"Sorry, someone else is currently using the shooting range.","Du kannst den Schiessstand nicht benutzen, weil ihn jemand anderes benutzt"
STRS_sr_nomoney,"You cant afford to shoot here","Du kannst es dir nicht leisten, hier zu schiessen!"
STRS_sr_noammo,"You do not have any ammo! Come back later.","Du hast keine Munition bei dir! Komm spaeter wieder."
STRS_sr_info,"Shoot in %1 seconds as many targets as possible. If you leave this area you will be banned from the shooting range for %2 minutes!","Schiess in %1 Sekunden so viele Ziele wie moeglich ab!. Wenn du diesen Bereich hier verlaesst, wird der Schiessstand fuer dich fuer %2 Minuten gesperrt!"
STRS_sr_timeleft,"Seconds left: %1","Sekunden uebrig: %1"
STRS_sr_timeout,"No more time left","Zeit abgelaufen"
STRS_sr_cheater,"You left the area! You cannot use this now for the next %1 minute(s)!","Du hast das Gebiet verlassen. Du kannst den Schiessstand nun fuer die naechsten %1 Minuten nicht benutzen!"

// PIMP
// ############################################################################024

STRS_pimp_vclsell_toofast, "You are going too fast to sell the vehicle", "Du bist zu schnell, um das Fahrzeug zu verkaufen"
STRS_pimp_vclsell, "You sold the vehicle for $%1.", "Du hast dein Fahrzeug fuer $%1 verkauft."

// MISSION SQM
// ############################################################################025

STRM_mission_description, "BLUFOR = Cops - Civillians = Civs", "BLUFOR = Cops - Zivilisten = Civs"
STRM_mission_marker_arbeiter, "Worker", "Arbeiter"
STRM_mission_marker_rathaus, "City Hall", "Rathaus"
STRM_mission_marker_deliverypoint1, "Delivery 1", "Lieferpunkt 1"
STRM_mission_marker_deliverypoint2, "Delivery 2", "Lieferpunkt 2"
STRM_mission_marker_deliverypoint3, "Delivery 3", "Lieferpunkt 3"
STRM_mission_marker_deliverypoint4, "Delivery 4", "Lieferpunkt 4"
STRM_mission_marker_deliverypoint5, "Delivery 5", "Lieferpunkt 5"
STRM_mission_marker_deliverypoint6, "Delivery 6", "Lieferpunkt 6"
STRM_mission_marker_deliverypoint7, "Delivery 7", "Lieferpunkt 7"
STRM_mission_marker_deliverypoint8, "Delivery 8", "Lieferpunkt 8"
STRM_mission_marker_deliverypoint9, "Delivery 9", "Lieferpunkt 9"
STRM_mission_marker_deliverypoint10, "Delivery 10", "Lieferpunkt 10"
STRM_mission_marker_workplace1, "Workplace 1", "Arbeitsplatz 1"
STRM_mission_marker_workplace2, "Workplace 2", "Arbeitsplatz 2"
STRM_mission_marker_workplace3, "Workplace 3", "Arbeitsplatz 3"
STRM_mission_marker_terrorhideout, "Terror Hideout", "Terroristenversteck"
STRM_mission_marker_blackmarket, "Black Market", "Schwarzmarkt"
STRM_mission_marker_jail, "Jail", "Gefaengnis"
STRM_mission_marker_cocaindealer, "Sell Cocaine", "Kokain verkaufen"
STRM_mission_marker_marihuanadealer, "Sell Marijuana", "Marihuana verkaufen"
STRM_mission_marker_lsddealer, "Sell LSD", "LSD verkaufen"
STRM_mission_marker_lonelyisland, "Just a lonely island", "Nur eine einsame Insel"
STRM_mission_marker_racefinish, "Race Finish", "Ziel des Rennens"
STRM_mission_marker_racestart, "Race Start", "Start des Rennens"
STRM_mission_marker_atm, "ATM", "geldautomat"
STRM_mission_marker_shootingrange, "Shooting Range", "Schiessstand"
STRM_mission_marker_refuelstation, "Petrol Station", "Tankstelle"
STRM_mission_marker_refuelAVGAS, "AVGas Refuel Station", "AVGas Tankstelle"
STRM_mission_marker_policestation, "Police Base", "Polizei Basis"
STRM_mission_marker_headmoneylicense, "Bounty-Hunter License", "kopfgeldjaegerlizenzen"
STRM_mission_marker_antidoteshop, "Virus Antidote Shop", "Virus Gegenmittel Shop"
STRM_mission_marker_civhospital, "Hospital", "Krankenhaus"
STRM_mission_marker_bank, "Bank", "Bank"
STRM_mission_marker_shop_1, "Shop 1", "Shop 1"
STRM_mission_marker_shop_2, "Shop 2", "Shop 2"
STRM_mission_marker_shop_3, "Shop 3", "Shop 3"
STRM_mission_marker_shop_air, "Air-Vehicle shop/Airtaxi", "Luftvehikel Shop/Airtaxi"
STRM_mission_marker_shop_air_small, "Airvehicle shop/Airtaxi", "Luftvehikel Shop/Airtaxi"
STRM_mission_marker_shop_armored, "Tank & Car shop", "Gepanzertes+Fahrzeuge Shop"
STRM_mission_marker_shop_heavygun, "Heavy-Weapon shop", "Schwere Waffen Shop"
STRM_mission_marker_shop_boat, "Boat shop", "Boot Shop"
STRM_mission_marker_shop_sniper, "Sniper-Rifle shop", "Scharfschuetzengewehr Shop"
STRM_mission_marker_shop_rifle, "Rifle shop", "Gewehr Shop"
STRM_mission_marker_shop_pickup, "Pick-up shop", "Pickup Shop"
STRM_mission_marker_shop_retro, "Mikes Retro Garage", "Mikes Retro Garage"
STRM_mission_marker_shop_truck, "Truck shop", "Truck Shop"
STRM_mission_marker_shop_car, "Car shop", "Auto Shop"
STRM_mission_marker_shop_handgun, "Handgun shop", "Handfeuerwaffen Shop"
STRM_mission_marker_shop_smg, "SMG shop", "SMG Shop"
STRM_mission_marker_shop_equipment, "Equipment shop", "Equipment Shop"
STRM_mission_marker_shop_fishmarket, "Fish Market", "Fischmarkt"
STRM_mission_marker_shop_bagango, "Bagango Shop", "Bagango Shop"
STRM_mission_marker_shop_corazol, "Corazol Shop", "Corazol Shop"
STRM_mission_marker_shop_mercalillo, "Mercalillo Shop", "Mercalillo Shop"
STRM_mission_marker_shop_obregan, "Obregan Shop", "Obregan Shop"
STRM_mission_marker_shop_masbete, "Masbete Shop", "Masbete Shop"
STRM_mission_marker_shop_eponia, "Eponia Shop", "Eponia Shop"
STRM_mission_marker_shop_pita, "Pita Shop", "Pita Shop"
STRM_mission_marker_sellcars, "Sell Vehicles", "Vehikelverkauf"
STRM_mission_marker_garage, "Garage", "Garage"
STRM_mission_marker_despawn, "Despawn-free area", "Despawn-Freie Zone"
STRM_mission_drugbuyflag, "Buy Drugs", "Drogen kaufen"
STRM_mission_marker_fishing, "Fishing Area", "Fischereigebiet"
STRM_mission_marker_deepsea_whale, "Deep-Sea Fishing (Whales)", "Tiefsee-Fischen (Wale)"
STRM_mission_marker_deepsea_shark, "Deep-Sea Fishing (Sharks)", "Tiefsee-Fischen (Haie)"
STRM_mission_marker_forest, "Workplace Forest", "Workplace Wald"
STRM_mission_marker_farming, "Wheat Harvesting", "Weizen Ernten"
STRM_mission_marker_farmingsell, "Sell harvests", "Ernte verkaufen"
STRM_mission_marker_court, "Court Construction Site", "Gericht Baustelle"
STRM_mission_marker_jail_construction, "Jail Construction Site", "Gefaengniss Baustelle"
STRM_mission_marker_bagango_shooting_range, "Bagango Shooting Range", "Bagango Schiessplatz"
STRM_mission_marker_factory_air, "Air Vehicle Factory", "Luft-Fahrzeugfabrik"
STRM_mission_marker_parkinglot_bagango, "Parking Lot", "Parkplatz"
STRM_mission_marker_ressourceshop, "Buy/Sell Resources", "Resourcen kauf./verk."
STRM_mission_marker_bagango_ap, "Bagango Airport", "Bagango Airport"
STRM_mission_marker_mercalillo_ap, "Mercalillo Aiport", "Mercalillo Aiport"
STRM_mission_marker_chantico_ap, "Chantico Airport", "Chantico Airport"
STRM_mission_marker_gen_liceses, "Licenses", "Lizenzen"
STRM_mission_marker_construcmat, "Construction Parts", "Konstruktions-Teile"
STRM_food_Factory, "Food Factory", "Nahrungsmittel Fabrik"
STRM_Diamond_Mine, "Diamond Mine", "Diamanten Mine"
STRM_quellwasser, "Spring water", "Quellwasser"
STRM_quellwasser_high, "Spring Water(high quality)", "Quellwasser(high quality)"
STRM_seewasser, "Salt water", "Salzwasser"
STRM_weinberg_rot_norm, "Vineyard (red grapes)", "Weinberge (rote Trauben)"
STRM_weinberg_rot_high, "Vineyard (red grapes HQ)", "Weinberge (rote Trauben HQ)"
STRM_weinberg_weiss_norm, "Vineyard (White grapes)", "Weinberge (weisse Trauben)"
STRM_weinberg_weiss_high, "Vineyard (White grapes HQ)", "Weinberge (weisse Trauben HQ)"
STRM_hopfen_ernte, "Hops Harvesting", "Hopfen Ernten"
STRM_tabak_ernte, "Tobacco Harvesting", "Tabak Ernten"
STRM_mission_marker_bikeshop, "Bike shop", "Bike shop"

STRM_mission_gruen_fahne, "Bases", "Basen"
STRM_mission_blau_fahne, "Shops", "Geschaefte"
STRM_mission_gelb_fahne, "Hideout / Workplaces / Buyable Shops", "Hideout / Workplaces / kaufbare Geschaefte"
STRM_mission_rot_fahne, "Drugs", "Drogen"
STRM_mission_gruen_punkt, "Bank / ATM", "Bank / geldautomat"
STRM_mission_rot_punkt, "Delivery Point", "Lieferpunkte"
STRM_mission_gelb_punkt, "Point of Interest", "Point of Interest"
STRM_mission_weiss_punkt, "Others", "Anderes"
STRM_mission_weiss_punkt_tanke, "Fuel-Stations", "Tankstellen"
STRM_mission_legende, "Caption", "Legende"
STRM_mission_legende_civmarker, "Civ-marker", "Zivilistenmarker"
STRM_mission_legende_civmarker2, "Civ-marker (wanted)", "Zivilistenmarker (gesucht)"
STRM_mission_legende_copmarker, "Cop-marker", "Polizistenmarker"
STRM_mission_legende_restaurante, "Restaurant", "Restaurant"
STRM_mission_marker_terrorvehicle, "Terrorist Vehicles", "Terroristenfahrzeuge"
STRM_mission_marker_illegalweapsbuy, "Illegal Weapons", "Illegale Waffen"
STRM_mission_marker_illegalweapssell, "Sell Illegal Weapons", "Illegale Waffen verkaufen"

// MISSION TRIGGER
// ############################################################################026

STRM_vehicle_stolen_ME_AS_1001, "A vehicle (registration plate: ME_AS_1001) was stolen near Bagango!", "Ein Fahrzeug (Kennzeichen: ME_AS_1001) wurde nahe Bagango gestohlen!"

// LIZENZEN
// ############################################################################027

STRS_license_car, "Car License", "Autolizenz"
STRS_license_pickup, "Pick-up License", "Pickuplizenz"
STRS_license_truck, "Truck License", "Trucklizenz"
STRS_license_heavycar, "Armoured-Car License", "Gepanzerte Fahrzeuglizenz"
STRS_license_boat, "Boat License", "Wasserfahrzeuglizenz"
STRS_license_air, "Air-Vehicle License", "Luftvehikellizenz"
STRS_license_handgun, "Handgun License", "Handfeuerwaffenlizenz"
STRS_license_smg, "Sub Machine Gun License", "Sub Machine Gun Lizenz"
STRS_license_rifle, "Rifle License", "Gewehrlizenz"
STRS_license_sniper, "Sniper License", "Scharfschuetzenlizenz"
STRS_license_machinegun, "Machine-gun License", "Maschinengewehr Lizenz"
STRS_license_heavygun, "Heavy-Weapons License", "Schwere Waffenlizenz"
STRS_license_bounty, "Bounty-Hunter License", "kopfgeldjaegerlizenz"
STRS_license_terror, "Terrorist Training", "Terroristen Training"
STRS_license_uni, "University Exam", "Universitaetsausbildung"
STRS_license_bank, "Bank Insurance", "Bankversicherung"
STRS_license_bomb, "Bomb Training", "Bombentraining"
STRS_license_lockpick, "Lock Pick Training", "Lockpick Training"
STRS_license_engineer, "Engineer Training", "Mechaniker Training"
STRS_license_explosive, "Explosives Training", "Sprengstofftraining"
STRS_license_basic_police, "Basic Police Training", "Einfaches Polizei Training"
STRS_license_coppatrol, "Patrol-Officer Training", "Streifen-Polizist Training"
STRS_license_copresponse, "Criminal Response-Officer Training", "Criminal Response-Officer Training"
STRS_license_copairsupport, "Air Suport-Officer Training", "Luft Support-Officer Training"
STRS_license_copswat, "SWAT-Officer Training", "SWAT-Officer Training"
STRS_license_medic, "Ambulance/Medic License", "Ambulanz/Medizin Lizenz"
STRS_license_medicCop, "Medical Training", "Medizin Training"
STRS_license_realestate, "Real-Estate License", "Immobilien Lizenz"
STRS_license_taxidriver, "Taxi-Driver License", "Taxifahrer Lizenz"
STRS_license_bodyguard, "Bodyguard License", "Bodyguard Lizenz"
STRS_remove_License, "Your license %1 has been removed from you by the chief of police", "Deine Lizenz/Training %1 Wurde vom Polizei-Chief entfernt"

STRM_mission_marker_license1, "Car/Pick-up-License", "Auto/Pickup-Lizenz"
STRM_mission_marker_license2, "Handgun/Rifle/SMG-License", "Handfeuerwaffen/Gewehr/SMG-Lizenz"
STRM_mission_marker_license3, "Sniper/MG-License", "Sniper/MG-Lizenz"
STRM_mission_marker_license4, "Boat License", "Boot Lizenz"
STRM_mission_marker_license_airport, "Air License", "Luft Lizenz"
STRM_mission_marker_license5, "Truck License", "Trucklizenz"
STRM_mission_marker_university, "Civillian Trainings", "Zivile Trainings"
STRM_mission_marker_realestate, "Habibi's Real-Estate", "Habibi's Immobilien"

// INVENTAR_01
// ############################################################################028

STRS_item_addinfo_keine, "none", "keine"

//-----------HIDEOUT--------------
STRS_item_hideout, "Hideout", "Hideout"
STRS_item_hideout_info, "A Hideout. Use it outside the cities to place it. At the flag, that will stand near the hideout, you can buy addons. Those addons you can use at this flag.","Ein Hideout. Benutze es ausserhalb der Staedte, um es zu bauen. An der Fahne, die dann ebenfalls erstellt wird, kannst du zusaetze kaufen, die du an der Fahne benutzen kannst."
STRS_inventar_hideout_wrongplace, "You are too close to a city so you cannot build your hideout here.", "Du bist zu nah an einer Stadt, daher kannst du dein Hideout hier nicht bauen."
STRS_inventar_no_money_hideout, "You can't afford the hideout.", "Du kannst dir das Hideout nicht leisten."
STRS_inventar_bought_hideout, "%1, you build a Hideout here.", "%1, du hast hier ein Hideout gebaut."

STRS_variablen_hideout_small, "Small Hideout", "Kleines Hideout"
STRS_variablen_hideout_middle, "Medium Hideout", "Mittleres Hideout"
STRS_variablen_hideout_large, "Large Hideout", "Grosses Hideout"
STRS_variablen_hideout_addon_firstaid, "First Aid", "Erste Hilfe"
STRS_variablen_hideout_addon_teleporter, "Teleporter", "Teleporter"
STRS_variablen_hideout_addon_banking, "Internet Banking", "Online Banking"

STRS_hideoutheal_nouse, "You are not injured.", "Du bist nicht verletzt."
STRS_hideoutheal_use, "You are healing yourself, wait 5 seconds until your wounds are healed completely.", "Du heilst dich, warte 5 Sekunden bis du alle Wunden verheilt sind."
STRS_hideoutheal_used, "Your wounds are now healed.", "Deine Wunden sind nun geheilt."

STRS_hideoutaddons_nobuy, "You can't afford this add-on.", "Du kannst dir dieses Addon nicht leisten."
STRS_hideoutaddons_buy, "You bought that hideout add-on for $%1.", "Du hast dieses Hideout-Addon fuer $%1 gekauft."
STRS_hideoutaddons_repaired, "You repaired your hideout.", "Du hast dein Hideout repariert."
STRS_hideoutaddons_norepair, "You cannot repair your hideout because it is not damaged.", "Du kannst das Hideout nicht reparieren, da es nicht beschaedigt ist."

STRS_hideoutaction_nobuy, "You can't afford that hideout.", "Du kannst dir kein Hideout leisten."
STRS_hideoutaction_already, "You already own a hideout.", "Du hast bereits ein eigenes Hideout."
